CID	drugName	ChEMBLID
4390	N-tert-butyl-alpha-phenylnitrone	NA
219042	Epithalamin	NA
9929901	Tocotrienol	CHEMBL120643
9823233	EUK-134	NA
45489809	EUK-134	NA
6849597	EUK-134	NA
171249	EUK-8	NA
219042	Epitalon	NA
439213	D-glucosamine	CHEMBL493287
4775	4-phenylbutyrate	CHEMBL1469
753	D-glycerol	CHEMBL692
6912	D-xylitol	CHEMBL1865120
5793	Glucose	CHEMBL1222250
439224	Carnosine	CHEMBL242948
5780	Sorbitol	CHEMBL1682
5281222	Butein	CHEMBL128000
5281614	Fisetin	CHEMBL31574
445154	Resveratrol	CHEMBL165
2468	Buformin	CHEMBL39736
8249	Phenformin	CHEMBL170988
5281915	Coenzyme Q10	CHEMBL454801
124072	Tetrahydrocurcumin	CHEMBL318743
444732	Trichostatin A	CHEMBL99
8096	3,3'-thiodipropionic acid	CHEMBL1569439
864	Alpha-lipoic acid	CHEMBL33864
6036	Galactose	CHEMBL195923
2259	Aurintricarboxylic acid	CHEMBL275938
9793807	3,3-diethyl-2-pyrrolidinone	CHEMBL293075
3291	Ethosuximide	CHEMBL696
5576	Trimethadione	CHEMBL695
1493	2,4-dinitrophenol	CHEMBL273386
6249	Ampicillin	CHEMBL174
5281699	Tamarixetin	CHEMBL226034
92729	Gamma-tocopherol	CHEMBL2151591
65064	Epigallocatechin-3-gallate	CHEMBL297453
8955	Pregnenolone	CHEMBL253363
586	Creatine	CHEMBL283800
439924	Nicotinamide riboside	CHEMBL438497
5280343	Quercetin	CHEMBL50
433294	Lithium Chloride	CHEMBL69710
4184	Mianserin	CHEMBL6437
402	Hydrogen Sulphide	CHEMBL1200739
3121	Valproic acid	CHEMBL109
6437357	Myxothiazol	NA
16219676	Myxothiazol	NA
10972974	Myxothiazol	CHEMBL454568
3658056	Myxothiazol	NA
3330	FCCP	CHEMBL457504
5770	Reserpine	CHEMBL772
2244	Aspirin	CHEMBL25
40634	Trolox	CHEMBL153
439533	Taxifolin	CHEMBL66
16679091	SkQ1	NA
5892	Nicotinamide adenine dinucleotide	CHEMBL1234613
5893	Nicotinamide adenine dinucleotide	NA
15938971	Nicotinamide adenine dinucleotide	NA
131856770	Nicotinamide adenine dinucleotide	NA
3878	Lamotrigine	CHEMBL741
2603	Carbonylcyanide-3-chlorophenylhydrazone	CHEMBL224214
124886	Glutathione	CHEMBL1543
3806	Juglone	CHEMBL43612
5284616	Rapamycin	CHEMBL413
970	Oxaloacetate	CHEMBL1794791
1102	Spermidine	CHEMBL19612
176	Acetic Acid	CHEMBL539
753	Glycerol	CHEMBL692
3973	LY-294002	CHEMBL98350
4091	Metformin	CHEMBL1431
7427	Trehalose	CHEMBL1236395
10917	L-Carnitine	CHEMBL1149
9903	Lithocholic acid	CHEMBL1478
969516	Curcumin	CHEMBL140
107876	Procyanidins	NA
9907842	Branched-Chain Amino Acids	NA
23662274	Sodium pyruvate	CHEMBL181886
5288826	Morphine	CHEMBL70
15939	Paraquat	CHEMBL74469
25975	Dichloroacetate	NA
441796	Glaucarubinone	CHEMBL458347
280687	Glaucarubinone	NA
430508	Glaucarubinone	CHEMBL1728992
12310232	Glaucarubinone	NA
2662	Celecoxib	CHEMBL118
16953	Thioflavin T	CHEMBL224392
65351	Pyrrolidine dithiocarbamate	CHEMBL399491
16315	Diallyl trisulfide	CHEMBL123040
5281792	Rosmarinic acid	CHEMBL324842
102469382	Ferulsinaic acid	NA
10141	Naphthazarin	CHEMBL274056
169137	Oxoline	NA
10205	Plumbagin	CHEMBL295316
370	Gallic Acid	CHEMBL288114
1103	Spermine	CHEMBL23194
39562	Lonidamine	CHEMBL1257030
5281224	Astaxanthin	CHEMBL1255871
24790866	Dafadine-A	CHEMBL1585869
1983	Acetaminophen	CHEMBL112
5281605	Baicalein	CHEMBL8260
5318997	Icariin	CHEMBL553204
38911	Ciclopirox olamine	CHEMBL242580
702	Ethanol	CHEMBL545
263	N-butanol	CHEMBL14245
1031	N-propanol	CHEMBL14687
54675783	Minocycline	NA
5353609	Erbstatin analog	CHEMBL17329
5328779	AG-490	CHEMBL56543
6442177	Everolimus	CHEMBL1908360
16760499	HA-1004	NA
3546	HA-1004	CHEMBL143054
6917872	HA-1004	CHEMBL1204354
3547	HA-1077	CHEMBL38380
163751	HA-1077	CHEMBL541388
16219471	HA-1077	NA
5359405	Indirubin	NA
4713	PD-98059	CHEMBL35482
5284452	Quercetin dihydrate	CHEMBL1520590
5312122	KN-93	CHEMBL155333
176155	SB203580	CHEMBL10
8515	SP600125	CHEMBL7064
2063	Tyrphostin 1	CHEMBL77456
5614	Tyrphostin 9	CHEMBL78150
2048	Tyrphostin AG 1295	CHEMBL7724
2051	Tyrphostin AG 1478	CHEMBL7917
44259	Staurosporine	CHEMBL388978
5311103	Staurosporine	CHEMBL1537489
5279	Staurosporine	CHEMBL1980995
451705	Staurosporine	NA
5459111	Staurosporine	NA
6419748	Staurosporine	NA
9937179	Staurosporine	NA
9956178	Staurosporine	NA
6711321	Staurosporine	NA
44299148	Staurosporine	CHEMBL162
42610657	Staurosporine	CHEMBL2375177
49831000	Staurosporine	NA
439378	L-Theanine	CHEMBL3039113
145742	Proline	CHEMBL54922
614	Proline	CHEMBL72275
8988	Proline	CHEMBL80257
10621	Hesperidin	CHEMBL449317
123591	C60	NA
67508	1,2,4-triazolo[1,5-a]pyridine	NA
8768	3,4-dihydroxybenzaldehyde	CHEMBL222021
54454	Simvastatin	CHEMBL1064
10393	Tyrosol	CHEMBL53566
892	D-chiro-inositol	NA
164619	Pinitol	NA
338	Salicylic acid	CHEMBL424
3085017	Sevelamer	CHEMBL1201798
5222465	Sodium butyrate	CHEMBL62381
4171	Metoprolol	CHEMBL13
6228	Dimethyl formamide	CHEMBL268291
71301	Nebivolol	CHEMBL434394
21630160	Nolinospiroside F	NA
86289919	Nolinospiroside F	NA
126970052	Nolinospiroside F	NA
525	Malate	CHEMBL1455497
160434	Malate	NA
16066476	Ascr#3	CHEMBL1221889
854026	Huperzine A	CHEMBL395280
449069	Huperzine A	NA
1253	Huperzine A	CHEMBL3184073
5912039	Huperzine A	CHEMBL394259
907504	Huperzine A	NA
9794806	Huperzine A	CHEMBL1255901
44461111	Huperzine A	NA
1633595	Huperzine A	NA
4369233	Huperzine A	NA
25200044	Huperzine A	NA
5460307	Fumarate	NA
16066475	Ascr#2	CHEMBL1221888
39042	Bezafibrate	CHEMBL264374
2796	Clofibrate	CHEMBL565
5959	Chloramphenicol	CHEMBL130
3339	Fenofibrate	CHEMBL672
54671203	Doxycycline	NA
14710	Ethidium bromide	CHEMBL284328
6438394	Myriocin	CHEMBL55076
5281672	Myricetin	CHEMBL164
72	Protocatechuic acid	CHEMBL37537
5281243	Lutein	CHEMBL173929
5329	Sulfamethoxazole	CHEMBL443
457	1-methyl nicotinamide	CHEMBL71733
936	Nicotinamide	CHEMBL1140
53393943	GYY4137	CHEMBL2158901
46937262	GYY4137	CHEMBL3754886
312145	Wortmannin	CHEMBL428496
1433	N-(3-(aminomethyl)benzyl)acetamidine	CHEMBL107251
446849	(R,R)-cis-Diethyl tetrahydro-2,8-chrysenediol	CHEMBL282489
1609	3,4-dichloroisocoumarin	CHEMBL24983
1756	4-phenyl-3-furoxancarbonitrile	CHEMBL336467
11698390	AMN082	CHEMBL1613220
6603792	7-cyclopentyl-5-(4-phenoxy)phenyl-7H-pyrrolo[2,3-d]pyrimidin-4-ylamine	CHEMBL47940
73334	Amperozide hydrochloride	CHEMBL1257106
2170	Amoxapine	CHEMBL1113
3654103	BRL 15572	CHEMBL534232
11957475	BRL 15572	CHEMBL534084
5757	Beta-Estradiol	CHEMBL135
2921148	BRL 50481	CHEMBL484928
5282478	Chlorprothixene hydrochloride	CHEMBL1256658
5702223	Chlorprothixene hydrochloride	CHEMBL1406274
102265	Chlorprothixene hydrochloride	NA
71314839	Chlorprothixene hydrochloride	NA
5282483	Cis-(Z)-Flupenthixol dihydrochloride	CHEMBL1496351
5281881	Cis-(Z)-Flupenthixol dihydrochloride	CHEMBL54661
10140115	Cis-(Z)-Flupenthixol dihydrochloride	CHEMBL1256995
1547484	Cinnarizine	CHEMBL43064
6604000	Cortexolone maleate	CHEMBL575768
11957682	Cortexolone maleate	CHEMBL1554717
11957484	BTCP hydrochloride	CHEMBL1255586
5284373	Cyclosporin A	CHEMBL160
5280754	Cyclosporin A	CHEMBL386389
2909	Cyclosporin A	NA
73896891	Cyclosporin A	NA
24883466	Cyclosporin A	NA
49867938	Cyclosporin A	NA
5458585	Cyclosporin A	NA
5497195	Cyclosporin A	NA
16404350	Cyclosporin A	NA
71306795	Cyclosporin A	NA
132274082	Cyclosporin A	NA
28417	Danazol	CHEMBL1479
9880	Cyproterone acetate	CHEMBL139835
1697	DAPH	CHEMBL268868
71171	Dihydroergotamine methanesulfonate	CHEMBL1200517
10531	Dihydroergotamine methanesulfonate	CHEMBL1732
44155030	Dihydroergotamine methanesulfonate	CHEMBL1200517
54686764	Demeclocycline hydrochloride	NA
107715	Dihydroergocristine methanesulfonate	CHEMBL601773
444034	Dihydroergocristine methanesulfonate	CHEMBL1255837
62978	Doxazosin mesylate	CHEMBL1200561
54685920	Doxycycline hydrochloride	NA
60703	Eliprodil	CHEMBL28564
71401	Guanfacine hydrochloride	CHEMBL1200494
5702062	Guanabenz acetate	CHEMBL1200560
5702063	Guanabenz acetate	CHEMBL420
9570374	Guanabenz acetate	CHEMBL1200560
3602	Hexahydro-sila-diphenidol	CHEMBL3545990
3820	Kenpaullone	CHEMBL296586
135348	Ketanserin tartrate	CHEMBL1256709
16219944	Ketanserin tartrate	NA
3822	Ketanserin tartrate	CHEMBL51
91885469	Ketanserin tartrate	NA
54676905	LFM-A13	CHEMBL228043
3957	Loratadine	CHEMBL998
71399	Loxapine succinate	CHEMBL1201155
121930	LY-165,163	CHEMBL1256693
4605800	LY-367,265	CHEMBL1079460
28693	Metergoline	CHEMBL19215
5281072	Methylergonovine maleate	CHEMBL1200843
54685925	Minocycline hydrochloride	NA
3626837	N-(2-[4-(4-chlorophenyl)piperazin-1-yl]ethyl)-3-methoxybenzamide	CHEMBL93403
11957660	Naftopidil dihydrochloride	CHEMBL1593765
441358	Nortriptyline hydrochloride	CHEMBL1201156
1238	Octoclothepin maleate	CHEMBL64249
4615	Oxatomide	CHEMBL13828
41114	Nicardipine hydrochloride	CHEMBL1200326
6014	Promethazine hydrochloride	CHEMBL1200750
47812	Pergolide methanesulfonate	CHEMBL1275
47811	Pergolide methanesulfonate	CHEMBL531
24351	Propionylpromazine hydrochloride	CHEMBL1256661
4507	Nitrendipine	CHEMBL475534
5768	Quinidine sulfate	NA
441074	Quinidine sulfate	CHEMBL1294
441326	Quinidine sulfate	NA
656862	Quinidine sulfate	CHEMBL3707183
5953	Quinidine sulfate	CHEMBL21578
11069	Quinidine sulfate	CHEMBL197253
22817455	Quinidine sulfate	NA
73555141	Quinidine sulfate	NA
5748152	Quinidine sulfate	CHEMBL1741006
23424038	Quinidine sulfate	CHEMBL1160599
23424040	Quinidine sulfate	NA
24867529	Quinidine sulfate	CHEMBL1590884
118705497	Quinidine sulfate	NA
6450842	SU 4312	CHEMBL328710
66062	Thioridazine hydrochloride	CHEMBL1200916
6603977	Psora-4	CHEMBL1256851
3060974	Trequinsin hydrochloride	CHEMBL527956
443955	Vinpocetine	CHEMBL71752
1388	MPTP	CHEMBL24172
6437838	Piericidin A	CHEMBL272733
6758	Rotenone	CHEMBL429023
249332	Vincristine sulfate	CHEMBL501867
5388992	Vincristine sulfate	NA
45356935	Vincristine sulfate	NA
11957714	Vincristine sulfate	CHEMBL1437846
21864436	Vincristine sulfate	CHEMBL1734496
9832825	Vincristine sulfate	NA
71752951	Vincristine sulfate	NA
45073403	Vincristine sulfate	NA
90489752	Vincristine sulfate	NA
5281764	Chicoric acid	CHEMBL282731
6099	Methylene blue	CHEMBL405110
41774	Acarbose	CHEMBL404271
444254	Acarbose	CHEMBL1566
441184	Acarbose	NA
4432690	Acarbose	CHEMBL181568
445421	Acarbose	NA
44891366	Acarbose	NA
70702327	Acarbose	NA
71312704	Acarbose	NA
122172882	Acarbose	NA
134694648	Acarbose	NA
5280795	Vitamin D3	CHEMBL1042
5281718	Polydatin	CHEMBL142652
162807	Glyceollin I	CHEMBL1774987
4475100	Glyceollin I	CHEMBL1774989
122724	Celastrol	CHEMBL301982
72307	Sesamin	CHEMBL252915
25232708	SRT1720	NA
24180125	SRT1720	CHEMBL257991
24139	N-acetylglucosamine	CHEMBL447878
439174	N-acetylglucosamine	CHEMBL240524
899	N-acetylglucosamine	CHEMBL83479
51	Alpha-ketoglutarate	CHEMBL1686
164533	Alpha-ketoglutarate	NA
5281515	Beta-caryophyllene	CHEMBL445740
92135	D-beta-hydroxybutyrate	CHEMBL1162484
6971058	D-beta-hydroxybutyrate	NA
2782115	Astragalus polysaccharide	NA
12433	Dibromoacetic acid	CHEMBL449362
6124	N-nitrosodimethylamine	CHEMBL117311
132999	Ivabradine	CHEMBL471737
5280961	Genistein	CHEMBL44
11948661	Specioside	CHEMBL2332355
199	Agmatine	CHEMBL58343
5950	Alanine	CHEMBL279597
602	Alanine	CHEMBL12198
71080	Alanine	CHEMBL66693
6322	Arginine	CHEMBL1485
6267	Asparagine	CHEMBL58832
170358	Asparagine	NA
6992089	Asparagine	CHEMBL58832
239	Beta-alanine	CHEMBL297569
119389	Caprylate	NA
247	Betaine	CHEMBL1182
5862	Cysteine	CHEMBL863
594	Cysteine	CHEMBL54943
92851	Cysteine	CHEMBL171281
71080	D-alanine	CHEMBL66693
83887	D-aspartate	CHEMBL29757
23327	D-glutamate	CHEMBL76232
91435	DL-lactate	NA
10690	Gluconate	CHEMBL464345
6419706	Gluconate	NA
33032	Glutamate	CHEMBL575060
611	Glutamate	NA
5128032	Glutamate	NA
14598502	Glutamate	NA
23327	Glutamate	CHEMBL76232
104813	Glutamate	NA
5460544	Glutamate	NA
4525487	Glutamate	NA
5961	Glutamine	CHEMBL930
750	Glycine	CHEMBL773
6274	Histidine	CHEMBL17962
91552	Homocysteine	CHEMBL469662
778	Homocysteine	CHEMBL310604
892	Inositol	NA
6306	Isoleucine	CHEMBL1233584
6106	Leucine	CHEMBL291962
92893	L-histidine methyl ester	CHEMBL54664
439378	L-theanine	CHEMBL3039113
5962	Lysine	CHEMBL8085
6137	Methionine	CHEMBL42336
876	Methionine	CHEMBL274119
84815	Methionine	CHEMBL1234268
75619	N-acetyl-l-histidine	CHEMBL3251664
6262	Ornithine	CHEMBL446143
449468	Ornithine	NA
6992088	Ornithine	NA
1005	Phosphoenolpyruvate	CHEMBL1235228
1018	Picolinic acid	CHEMBL72628
1045	Putrescine	CHEMBL46257
10975657	Ribose	NA
5951	Serine	CHEMBL11298
160419	Succinate	NA
1110	Succinate	CHEMBL576
1123	Taurine	CHEMBL239243
6288	Threonine	CHEMBL291747
6305	Tryptophan	CHEMBL54976
6057	Tyrosine	CHEMBL925
6287	Valine	CHEMBL43068
135191	Xylose	CHEMBL502135
5381226	Rifampicin	NA
5458213	Rifampicin	NA
6913622	Rifampicin	NA
25141428	Rifampicin	NA
6243627	Rifampicin	NA
24871024	Rifampicin	NA
101476308	Rifampicin	NA
5388984	Rifampicin	NA
16043998	Rifampicin	NA
44419043	Rifampicin	NA
45356263	Rifampicin	NA
57419136	Rifampicin	NA
66584054	Rifampicin	NA
87059079	Rifampicin	NA
56947149	Rifampicin	NA
57020413	Rifampicin	NA
118725302	Rifampicin	NA
131632417	Rifampicin	NA
131839595	Rifampicin	NA
134693938	Rifampicin	NA
134731526	Rifampicin	NA
6324616	Rifamycin SV	CHEMBL437765
5312738	10-hydroxy-2-decenoic Acid	NA
65036	Garlic extract	CHEMBL359965
94391	Dehydroabietic acid	CHEMBL12850
15618	Dehydroabietic acid	NA
1201531	Dehydroabietic acid	CHEMBL2431478
5316430	Dehydroabietic acid	NA
7075030	Dehydroabietic acid	NA
10017708	Dehydroabietic acid	NA
10079485	Otophylloside B	NA
11707110	Trametinib	CHEMBL2103875
67701	Beta-Guanidinopropionic acid	CHEMBL20489
64981	Arctigenin	CHEMBL435734
100528	Arctiin	CHEMBL388452
323896	Lappaol C	NA
46173978	Lappaol C	NA
119205	Matairesinol	CHEMBL425148
73425459	Lappaol F	NA
12000883	Verminoside	NA
11948660	Verminoside	CHEMBL462888
129317172	Verminoside	NA
133561845	Verminoside	NA
439391	(R)-2-hydroxyglutarate	CHEMBL1614745
439939	(S)-2-hydroxyglutarate	CHEMBL1615211
5281239	Fucoxanthin	CHEMBL1575074
5280441	Vitexin	CHEMBL487417
6037	Folic acid	CHEMBL1622
5288382	Geldanamycin	CHEMBL278315
13017912	Geldanamycin	NA
3460	Geldanamycin	NA
5281885	Geldanamycin	CHEMBL182055
73554183	Geldanamycin	NA
5288451	Geldanamycin	NA
24870960	Geldanamycin	NA
71307093	Geldanamycin	NA
644250	Geldanamycin	NA
5702269	Geldanamycin	NA
6708467	Geldanamycin	NA
24196291	Geldanamycin	NA
71308206	Geldanamycin	NA
71317043	Geldanamycin	NA
45073431	Geldanamycin	NA
122172929	Geldanamycin	NA
129317875	Geldanamycin	NA
133109195	Geldanamycin	NA
134688510	Geldanamycin	NA
134694652	Geldanamycin	NA
134812766	Geldanamycin	NA
204	Allantoin	CHEMBL593429
6346	Methylene iodide	NA
444293	PPE	NA
5289193	PPE	NA
13355	Sodium tartrate	CHEMBL3917380
54670067	Vitamin C	CHEMBL196
4534	NDGA	CHEMBL52
5819	T4	CHEMBL1624
31404	BHT	CHEMBL146
6421	TCA	CHEMBL14053
14985	Alpha-tocopherol	CHEMBL47
26757	Selegiline	CHEMBL972
86472	Alpha-tocopherol acetate	CHEMBL1047
8096	TDPA	CHEMBL1569439
6112	Lipoic acid	CHEMBL134342
1549144	Lipoic acid	NA
14985	D-alpha-tocopherol	CHEMBL47
6036	D-galactose	CHEMBL195923
9793807	DEABL	CHEMBL293075
444732	TSA	CHEMBL99
65064	EGCG	CHEMBL297453
9835593	NR	NA
864	DL-thioctic acid	CHEMBL33864
5892	NAD	CHEMBL1234613
5893	NAD	NA
15938971	NAD	NA
72710628	NAD	NA
2603	CCCP	CHEMBL224214
12035	NAC	CHEMBL600
3806	5-hydroxy-1,4-naphthalenedione	CHEMBL43612
970	Oxaloacetic acid	CHEMBL1794791
100427	IPAM	CHEMBL889
7045767	Acetyl-L-carnitine	CHEMBL1697733
1060	Pyruvic acid	CHEMBL1162144
5748594	quercetin 3'-O-beta-D-glucopyranoside	NA
129053289	ERW	NA
1103	SPM	CHEMBL23194
5281605	5,6,7-trihydroxyflavone	CHEMBL8260
145742	L-proline	CHEMBL54922
123591	Fullerene	NA
8768	protocatechuic aldehyde	CHEMBL222021
6228	DMF	CHEMBL268291
5329	SMX	CHEMBL443
938	Vitamin B3	CHEMBL573
12198448	Vitamin B3	NA
121930	PAPP	CHEMBL1256693
68551	Mianserin hydrochloride	CHEMBL544428
6323	MB	CHEMBL48339
5353376	ACA	CHEMBL173443
15991568	HSh	NA
329275	LW	NA
6992319	LW	CHEMBL56154
5281787	CAPE	CHEMBL319244
11980944	Curcuma longa	NA
802	IAC	CHEMBL82411
71398	Mesonordihydroguaiaretic acid	CHEMBL313972
6049	CaEDTA	CHEMBL858
247	Trimethylglycine	CHEMBL1182
439224	Beta-alanyl-L-histidine	CHEMBL242948
6274	L-histidine	CHEMBL17962
439378	Theanine	CHEMBL3039113
5951	L-serine	CHEMBL11298
