ChEMBLID	study	gene_name	drug_name	interaction_claim_source
CHEMBL297453	Aliper2016	KCNJ11	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	CYP1A2	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	CYP3A4	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	GJA1	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	HGF	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	TP73	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	ABCB1	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	CSF2	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	KAT2B	EPIGALOCATECHIN GALLATE	GuideToPharmacologyInteractions
CHEMBL297453	Aliper2016	ABCC1	EPIGALOCATECHIN GALLATE	NCI
CHEMBL721	Barardo2017	TRPA1	ACROLEIN	GuideToPharmacologyInteractions
CHEMBL1086218	Barardo2017	ABCB1	VALSPODAR	NCI
CHEMBL1086218	Barardo2017	ABCB4	VALSPODAR	TTD
CHEMBL1086218	Barardo2017	ABCC1	VALSPODAR	NCI
CHEMBL1086218	Barardo2017	VDR	VALSPODAR	NCI
CHEMBL1251	Barardo2017	GNRHR	GANIRELIX ACETATE	ChemblInteractions
CHEMBL1251	Barardo2017	GNRHR	GANIRELIX ACETATE	GuideToPharmacologyInteractions
CHEMBL1251	Barardo2017	GNRHR	GANIRELIX ACETATE	TTD
CHEMBL170365	Barardo2017	TRPA1	ACETALDEHYDE	GuideToPharmacologyInteractions
CHEMBL1200490	Barardo2017	SERPINE1	CETRORELIX	NCI
CHEMBL1200490	Barardo2017	GNRHR	CETRORELIX	TTD
CHEMBL1200490	Barardo2017	GNRHR	CETRORELIX	GuideToPharmacologyInteractions
CHEMBL1200490	Barardo2017	HSPD1	CETRORELIX	NCI
CHEMBL1200490	Barardo2017	GNRHR	CETRORELIX	TEND
CHEMBL1200490	Barardo2017	GNRHR	CETRORELIX	TdgClinicalTrial
CHEMBL506495	Barardo2017	GALR2	CHEMBL506495	GuideToPharmacologyInteractions
CHEMBL506495	Barardo2017	GALR1	CHEMBL506495	GuideToPharmacologyInteractions
CHEMBL325041	Barardo2017	PSMC2	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMD11	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMD4P1	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB3	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD3	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD2	BORTEZOMIB	TEND
CHEMBL325041	Barardo2017	PSMA8	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMC3IP	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB10	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD14	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	BDNF	BORTEZOMIB	NCI
CHEMBL325041	Barardo2017	PSMD8	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	HSPB2	BORTEZOMIB	NCI
CHEMBL325041	Barardo2017	PIK3CG	BORTEZOMIB	NCI
CHEMBL325041	Barardo2017	PSMB1	BORTEZOMIB	TdgClinicalTrial
CHEMBL325041	Barardo2017	PSMD13	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB5	BORTEZOMIB	GuideToPharmacologyInteractions
CHEMBL325041	Barardo2017	PSMC1P1	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD10P2	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD9	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB5	BORTEZOMIB	TdgClinicalTrial
CHEMBL325041	Barardo2017	PSMB1	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PMAIP1	BORTEZOMIB	NCI
CHEMBL325041	Barardo2017	PSME3	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD10P3	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMC3	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	RB1	BORTEZOMIB	CKB
CHEMBL325041	Barardo2017	PSMD12	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD6	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSME2P2	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	NOTCH1	BORTEZOMIB	CKB
CHEMBL325041	Barardo2017	KRAS	BORTEZOMIB	CKB
CHEMBL325041	Barardo2017	PSMA1	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMD4	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB5	BORTEZOMIB	TEND
CHEMBL325041	Barardo2017	PSMC4	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB8	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSME1	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD2	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMD10	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD2	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD2	BORTEZOMIB	TdgClinicalTrial
CHEMBL325041	Barardo2017	PSMD5	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMA3	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD1	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMA6	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	BAX	BORTEZOMIB	TALC
CHEMBL325041	Barardo2017	PSMA4	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	BCL2L2	BORTEZOMIB	NCI
CHEMBL325041	Barardo2017	PSME2	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMC5	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB6	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMC1	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB5	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB1	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB4	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB9	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSME4	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	FLT3	BORTEZOMIB	MyCancerGenomeClinicalTrial
CHEMBL325041	Barardo2017	PSMA2	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB8	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB9	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	XIAP	BORTEZOMIB	NCI
CHEMBL325041	Barardo2017	PSMC3	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	BCL2	BORTEZOMIB	TALC
CHEMBL325041	Barardo2017	PSMD13	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	HSPA4	BORTEZOMIB	NCI
CHEMBL325041	Barardo2017	PSMB4	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD12	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	TP53	BORTEZOMIB	TALC
CHEMBL325041	Barardo2017	PSMD11	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD6	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB10	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB5	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB7	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMC5	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMD7	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD1	BORTEZOMIB	TEND
CHEMBL325041	Barardo2017	PSMB3	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB2	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD8	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB7	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMB11	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	ADRM1	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMA7	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB2	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMC1	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMA1	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMA5	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	FGFR3	BORTEZOMIB	DoCM
CHEMBL325041	Barardo2017	PSMB2	BORTEZOMIB	TdgClinicalTrial
CHEMBL325041	Barardo2017	NFKB1	BORTEZOMIB	ClearityFoundationClinicalTrial
CHEMBL325041	Barardo2017	PSMA5	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB1	BORTEZOMIB	TEND
CHEMBL325041	Barardo2017	PSMF1	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMA6	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD4	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMC6	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PIPSL	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD1	BORTEZOMIB	TdgClinicalTrial
CHEMBL325041	Barardo2017	PSMB2	BORTEZOMIB	TEND
CHEMBL325041	Barardo2017	PSMD10P1	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMD3	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMB6	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	FGFR3	BORTEZOMIB	CGI
CHEMBL325041	Barardo2017	SEM1	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMD7	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMC6	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	GATA2	BORTEZOMIB	CKB
CHEMBL325041	Barardo2017	PSMA4	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMA8	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMA3	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMD1	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PSMC4	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	PSMA2	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	DDIT3	BORTEZOMIB	NCI
CHEMBL325041	Barardo2017	PSMD14	BORTEZOMIB	ChemblInteractions
CHEMBL325041	Barardo2017	E2F1	BORTEZOMIB	NCI
CHEMBL325041	Barardo2017	GATA2	BORTEZOMIB	CIViC
CHEMBL325041	Barardo2017	PSMA7	BORTEZOMIB	MyCancerGenome
CHEMBL325041	Barardo2017	PIK3CA	BORTEZOMIB	CKB
CHEMBL325041	Barardo2017	PSMC2	BORTEZOMIB	MyCancerGenome
CHEMBL417016	Barardo2017	TSHB	LACTOSE, ANHYDROUS	NCI
CHEMBL417016	Barardo2017	PIK3CG	LACTOSE, ANHYDROUS	NCI
CHEMBL417016	Barardo2017	GUCA2A	LACTOSE, ANHYDROUS	NCI
CHEMBL417016	Barardo2017	CYP1A2	LACTOSE, ANHYDROUS	NCI
CHEMBL417016	Barardo2017	GALR2	LACTOSE, ANHYDROUS	GuideToPharmacologyInteractions
CHEMBL442	Barardo2017	HTR1D	ERGOTAMINE	TdgClinicalTrial
CHEMBL442	Barardo2017	HTR5A	ERGOTAMINE	GuideToPharmacologyInteractions
CHEMBL442	Barardo2017	HTR1D	ERGOTAMINE	GuideToPharmacologyInteractions
CHEMBL442	Barardo2017	HTR1B	ERGOTAMINE	TdgClinicalTrial
CHEMBL442	Barardo2017	HTR2B	ERGOTAMINE	GuideToPharmacologyInteractions
CHEMBL442	Barardo2017	HTR1B	ERGOTAMINE	TEND
CHEMBL442	Barardo2017	HTR1E	ERGOTAMINE	GuideToPharmacologyInteractions
CHEMBL442	Barardo2017	HTR2A	ERGOTAMINE	GuideToPharmacologyInteractions
CHEMBL442	Barardo2017	HTR6	ERGOTAMINE	GuideToPharmacologyInteractions
CHEMBL442	Barardo2017	HTR1F	ERGOTAMINE	GuideToPharmacologyInteractions
CHEMBL442	Barardo2017	HTR1D	ERGOTAMINE	TEND
CHEMBL442	Barardo2017	HTR2C	ERGOTAMINE	GuideToPharmacologyInteractions
CHEMBL1554	Barardo2017	AFP	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	NTF3	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	COIL	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	CEL	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	TOP2A	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	BDNF	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	TNFRSF1B	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	BGLAP	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	TNFRSF8	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	GRB2	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	CSF1	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	NRG1	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	DDIT3	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	PIK3CB	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	TFPI	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	BIRC5	DACTINOMYCIN	NCI
CHEMBL1554	Barardo2017	CD5	DACTINOMYCIN	NCI
CHEMBL223643	Barardo2017	SSTR2	VALINOMYCIN	GuideToPharmacologyInteractions
CHEMBL223643	Barardo2017	SST	VALINOMYCIN	NCI
CHEMBL278315	Calvert2016	HIF1A	GELDANAMYCIN	NCI
CHEMBL278315	Calvert2016	CD28	GELDANAMYCIN	NCI
CHEMBL278315	Calvert2016	FCGR3A	GELDANAMYCIN	NCI
CHEMBL278315	Calvert2016	CEL	GELDANAMYCIN	NCI
CHEMBL278315	Calvert2016	VIM	GELDANAMYCIN	NCI
CHEMBL278315	Calvert2016	MYOD1	GELDANAMYCIN	NCI
CHEMBL278315	Calvert2016	PLAU	GELDANAMYCIN	NCI
CHEMBL278315	Calvert2016	FLT3	GELDANAMYCIN	NCI
CHEMBL278315	Calvert2016	FCGR3B	GELDANAMYCIN	NCI
CHEMBL414883	Calvert2016	NGFR	RADICICOL	GuideToPharmacologyInteractions
CHEMBL414883	Calvert2016	NTRK3	RADICICOL	GuideToPharmacologyInteractions
CHEMBL414883	Calvert2016	NTRK1	RADICICOL	NCI
CHEMBL413	Calvert2016	PIK3CA	SIROLIMUS	CIViC
CHEMBL413	Calvert2016	TGM2	SIROLIMUS	NCI
CHEMBL413	Calvert2016	HRAS	SIROLIMUS	CKB
CHEMBL413	Calvert2016	NFE2L2	SIROLIMUS	NCI
CHEMBL413	Calvert2016	FBXW7	SIROLIMUS	CKB
CHEMBL413	Calvert2016	IL10	SIROLIMUS	NCI
CHEMBL413	Calvert2016	EGFR	SIROLIMUS	CIViC
CHEMBL413	Calvert2016	PIK3CA	SIROLIMUS	NCI
CHEMBL413	Calvert2016	AKT1	SIROLIMUS	CKB
CHEMBL413	Calvert2016	FKBP1A	SIROLIMUS	TEND
CHEMBL413	Calvert2016	FBXW7	SIROLIMUS	CGI
CHEMBL413	Calvert2016	FKBP1A	SIROLIMUS	ChemblInteractions
CHEMBL413	Calvert2016	NF1	SIROLIMUS	CIViC
CHEMBL413	Calvert2016	MTOR	SIROLIMUS	MyCancerGenome
CHEMBL413	Calvert2016	MTOR	SIROLIMUS	ClearityFoundationClinicalTrial
CHEMBL413	Calvert2016	EML4	SIROLIMUS	CKB
CHEMBL413	Calvert2016	TP53	SIROLIMUS	NCI
CHEMBL413	Calvert2016	IL7	SIROLIMUS	NCI
CHEMBL413	Calvert2016	STK11	SIROLIMUS	CKB
CHEMBL413	Calvert2016	EGFR	SIROLIMUS	CGI
CHEMBL413	Calvert2016	FGF2	SIROLIMUS	TdgClinicalTrial
CHEMBL413	Calvert2016	PIK3CA	SIROLIMUS	CKB
CHEMBL413	Calvert2016	MTOR	SIROLIMUS	CGI
CHEMBL413	Calvert2016	NOS1	SIROLIMUS	NCI
CHEMBL413	Calvert2016	ABCG2	SIROLIMUS	NCI
CHEMBL413	Calvert2016	MCL1	SIROLIMUS	NCI
CHEMBL413	Calvert2016	PLAU	SIROLIMUS	NCI
CHEMBL413	Calvert2016	MTOR	SIROLIMUS	CIViC
CHEMBL413	Calvert2016	RBL2	SIROLIMUS	NCI
CHEMBL413	Calvert2016	DDIT3	SIROLIMUS	NCI
CHEMBL413	Calvert2016	BAX	SIROLIMUS	NCI
CHEMBL413	Calvert2016	FKBP1A	SIROLIMUS	GuideToPharmacologyInteractions
