Study	pathID	Pathway	percentageTargeted	percentage_in_Human_GenAge	percentage_in_Model_GenAge	percentage_targeted_by_DrugAge
Yang2018	hsa00100	Steroid biosynthesis	0	0	0.1111111111111111	0.2222222222222222
Ziehm2017	hsa00100	Steroid biosynthesis	0	0	0.1111111111111111	0.2222222222222222
Aliper2016	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Barardo2017	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Calvert2016	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Donertas2018	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Fernandes2016	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Fuentealba2018	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Liu2016	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Mofidifar2018	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Snell2016	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Snell2018	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Yang2018	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Ziehm2017	hsa00120	Primary bile acid biosynthesis	0	0	0	0
Aliper2016	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Barardo2017	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Calvert2016	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Donertas2018	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Fernandes2016	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Fuentealba2018	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Liu2016	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0.16666666666666666	0	0	0.16666666666666666
Mofidifar2018	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Snell2016	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0.16666666666666666	0	0	0.16666666666666666
Snell2018	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Yang2018	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Ziehm2017	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0.16666666666666666
Aliper2016	hsa00140	Steroid hormone biosynthesis	0.09090909090909091	0	0.12121212121212122	0.21212121212121213
Barardo2017	hsa00140	Steroid hormone biosynthesis	0.030303030303030304	0	0.12121212121212122	0.21212121212121213
Calvert2016	hsa00140	Steroid hormone biosynthesis	0.030303030303030304	0	0.12121212121212122	0.21212121212121213
Donertas2018	hsa00140	Steroid hormone biosynthesis	0.09090909090909091	0	0.12121212121212122	0.21212121212121213
Fernandes2016	hsa00140	Steroid hormone biosynthesis	0.030303030303030304	0	0.12121212121212122	0.21212121212121213
Fuentealba2018	hsa00140	Steroid hormone biosynthesis	0.06060606060606061	0	0.12121212121212122	0.21212121212121213
Liu2016	hsa00140	Steroid hormone biosynthesis	0.06060606060606061	0	0.12121212121212122	0.21212121212121213
Mofidifar2018	hsa00140	Steroid hormone biosynthesis	0	0	0.12121212121212122	0.21212121212121213
Snell2016	hsa00140	Steroid hormone biosynthesis	0.06060606060606061	0	0.12121212121212122	0.21212121212121213
Snell2018	hsa00140	Steroid hormone biosynthesis	0.09090909090909091	0	0.12121212121212122	0.21212121212121213
Yang2018	hsa00140	Steroid hormone biosynthesis	0	0	0.12121212121212122	0.21212121212121213
Ziehm2017	hsa00140	Steroid hormone biosynthesis	0.06060606060606061	0	0.12121212121212122	0.21212121212121213
Aliper2016	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Barardo2017	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Calvert2016	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Donertas2018	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Fernandes2016	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Fuentealba2018	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Liu2016	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Mofidifar2018	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Snell2016	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Snell2018	hsa00190	Oxidative phosphorylation	0.018867924528301886	0.018867924528301886	0.22641509433962265	0.018867924528301886
Yang2018	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Ziehm2017	hsa00190	Oxidative phosphorylation	0	0.018867924528301886	0.22641509433962265	0.018867924528301886
Aliper2016	hsa00220	Arginine biosynthesis	0.1111111111111111	0	0.1111111111111111	0.3333333333333333
Barardo2017	hsa00220	Arginine biosynthesis	0	0	0.1111111111111111	0.3333333333333333
Calvert2016	hsa00220	Arginine biosynthesis	0.1111111111111111	0	0.1111111111111111	0.3333333333333333
Donertas2018	hsa00220	Arginine biosynthesis	0.1111111111111111	0	0.1111111111111111	0.3333333333333333
Fernandes2016	hsa00220	Arginine biosynthesis	0	0	0.1111111111111111	0.3333333333333333
Fuentealba2018	hsa00220	Arginine biosynthesis	0	0	0.1111111111111111	0.3333333333333333
Liu2016	hsa00220	Arginine biosynthesis	0	0	0.1111111111111111	0.3333333333333333
Mofidifar2018	hsa00220	Arginine biosynthesis	0	0	0.1111111111111111	0.3333333333333333
Snell2016	hsa00220	Arginine biosynthesis	0.1111111111111111	0	0.1111111111111111	0.3333333333333333
Snell2018	hsa00220	Arginine biosynthesis	0.4444444444444444	0	0.1111111111111111	0.3333333333333333
Yang2018	hsa00220	Arginine biosynthesis	0	0	0.1111111111111111	0.3333333333333333
Ziehm2017	hsa00220	Arginine biosynthesis	0.1111111111111111	0	0.1111111111111111	0.3333333333333333
Aliper2016	hsa00230	Purine metabolism	0	0.04838709677419355	0.12903225806451613	0.14516129032258066
Barardo2017	hsa00230	Purine metabolism	0	0.04838709677419355	0.12903225806451613	0.14516129032258066
Calvert2016	hsa00230	Purine metabolism	0.016129032258064516	0.04838709677419355	0.12903225806451613	0.14516129032258066
Donertas2018	hsa00230	Purine metabolism	0.06451612903225806	0.04838709677419355	0.12903225806451613	0.14516129032258066
Fernandes2016	hsa00230	Purine metabolism	0.06451612903225806	0.04838709677419355	0.12903225806451613	0.14516129032258066
Fuentealba2018	hsa00230	Purine metabolism	0.016129032258064516	0.04838709677419355	0.12903225806451613	0.14516129032258066
Liu2016	hsa00230	Purine metabolism	0.16129032258064516	0.04838709677419355	0.12903225806451613	0.14516129032258066
Mofidifar2018	hsa00230	Purine metabolism	0	0.04838709677419355	0.12903225806451613	0.14516129032258066
Snell2016	hsa00230	Purine metabolism	0.4838709677419355	0.04838709677419355	0.12903225806451613	0.14516129032258066
Snell2018	hsa00230	Purine metabolism	0.08064516129032258	0.04838709677419355	0.12903225806451613	0.14516129032258066
Yang2018	hsa00230	Purine metabolism	0	0.04838709677419355	0.12903225806451613	0.14516129032258066
Ziehm2017	hsa00230	Purine metabolism	0	0.04838709677419355	0.12903225806451613	0.14516129032258066
Aliper2016	hsa00232	Caffeine metabolism	0.2	0	0.4	0.6
Barardo2017	hsa00232	Caffeine metabolism	0.2	0	0.4	0.6
Calvert2016	hsa00232	Caffeine metabolism	0	0	0.4	0.6
Donertas2018	hsa00232	Caffeine metabolism	0	0	0.4	0.6
Fernandes2016	hsa00232	Caffeine metabolism	0	0	0.4	0.6
Fuentealba2018	hsa00232	Caffeine metabolism	0	0	0.4	0.6
Liu2016	hsa00232	Caffeine metabolism	0.4	0	0.4	0.6
Mofidifar2018	hsa00232	Caffeine metabolism	0	0	0.4	0.6
Snell2016	hsa00232	Caffeine metabolism	0.2	0	0.4	0.6
Snell2018	hsa00232	Caffeine metabolism	0.2	0	0.4	0.6
Yang2018	hsa00232	Caffeine metabolism	0	0	0.4	0.6
Ziehm2017	hsa00232	Caffeine metabolism	0	0	0.4	0.6
Aliper2016	hsa00240	Pyrimidine metabolism	0	0.08695652173913043	0.043478260869565216	0.043478260869565216
Barardo2017	hsa00240	Pyrimidine metabolism	0	0.08695652173913043	0.043478260869565216	0.043478260869565216
Calvert2016	hsa00240	Pyrimidine metabolism	0	0.08695652173913043	0.043478260869565216	0.043478260869565216
Donertas2018	hsa00240	Pyrimidine metabolism	0.08695652173913043	0.08695652173913043	0.043478260869565216	0.043478260869565216
Fernandes2016	hsa00240	Pyrimidine metabolism	0	0.08695652173913043	0.043478260869565216	0.043478260869565216
Fuentealba2018	hsa00240	Pyrimidine metabolism	0	0.08695652173913043	0.043478260869565216	0.043478260869565216
Liu2016	hsa00240	Pyrimidine metabolism	0.08695652173913043	0.08695652173913043	0.043478260869565216	0.043478260869565216
Mofidifar2018	hsa00240	Pyrimidine metabolism	0	0.08695652173913043	0.043478260869565216	0.043478260869565216
Snell2016	hsa00240	Pyrimidine metabolism	0.2608695652173913	0.08695652173913043	0.043478260869565216	0.043478260869565216
Snell2018	hsa00240	Pyrimidine metabolism	0.13043478260869565	0.08695652173913043	0.043478260869565216	0.043478260869565216
Yang2018	hsa00240	Pyrimidine metabolism	0	0.08695652173913043	0.043478260869565216	0.043478260869565216
Ziehm2017	hsa00240	Pyrimidine metabolism	0	0.08695652173913043	0.043478260869565216	0.043478260869565216
Aliper2016	hsa00250	Alanine, aspartate and glutamate metabolism	0	0	0	0.3333333333333333
Barardo2017	hsa00250	Alanine, aspartate and glutamate metabolism	0	0	0	0.3333333333333333
Calvert2016	hsa00250	Alanine, aspartate and glutamate metabolism	0	0	0	0.3333333333333333
Donertas2018	hsa00250	Alanine, aspartate and glutamate metabolism	0	0	0	0.3333333333333333
Fernandes2016	hsa00250	Alanine, aspartate and glutamate metabolism	0.2222222222222222	0	0	0.3333333333333333
Fuentealba2018	hsa00250	Alanine, aspartate and glutamate metabolism	0	0	0	0.3333333333333333
Liu2016	hsa00250	Alanine, aspartate and glutamate metabolism	0.2222222222222222	0	0	0.3333333333333333
Mofidifar2018	hsa00250	Alanine, aspartate and glutamate metabolism	0	0	0	0.3333333333333333
Snell2016	hsa00250	Alanine, aspartate and glutamate metabolism	0.2222222222222222	0	0	0.3333333333333333
Snell2018	hsa00250	Alanine, aspartate and glutamate metabolism	0.3333333333333333	0	0	0.3333333333333333
Yang2018	hsa00250	Alanine, aspartate and glutamate metabolism	0	0	0	0.3333333333333333
Ziehm2017	hsa00250	Alanine, aspartate and glutamate metabolism	0	0	0	0.3333333333333333
Aliper2016	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Barardo2017	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Calvert2016	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Donertas2018	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Fernandes2016	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Fuentealba2018	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Liu2016	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Mofidifar2018	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Snell2016	hsa00260	Glycine, serine and threonine metabolism	0.125	0	0	0.125
Snell2018	hsa00260	Glycine, serine and threonine metabolism	0.125	0	0	0.125
Yang2018	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Ziehm2017	hsa00260	Glycine, serine and threonine metabolism	0	0	0	0.125
Aliper2016	hsa00270	Cysteine and methionine metabolism	0	0.10526315789473684	0.21052631578947367	0.15789473684210525
Barardo2017	hsa00270	Cysteine and methionine metabolism	0	0.10526315789473684	0.21052631578947367	0.15789473684210525
Calvert2016	hsa00270	Cysteine and methionine metabolism	0	0.10526315789473684	0.21052631578947367	0.15789473684210525
Donertas2018	hsa00270	Cysteine and methionine metabolism	0.05263157894736842	0.10526315789473684	0.21052631578947367	0.15789473684210525
Fernandes2016	hsa00270	Cysteine and methionine metabolism	0	0.10526315789473684	0.21052631578947367	0.15789473684210525
Fuentealba2018	hsa00270	Cysteine and methionine metabolism	0	0.10526315789473684	0.21052631578947367	0.15789473684210525
Liu2016	hsa00270	Cysteine and methionine metabolism	0.10526315789473684	0.10526315789473684	0.21052631578947367	0.15789473684210525
Mofidifar2018	hsa00270	Cysteine and methionine metabolism	0	0.10526315789473684	0.21052631578947367	0.15789473684210525
Snell2016	hsa00270	Cysteine and methionine metabolism	0.05263157894736842	0.10526315789473684	0.21052631578947367	0.15789473684210525
Snell2018	hsa00270	Cysteine and methionine metabolism	0	0.10526315789473684	0.21052631578947367	0.15789473684210525
Yang2018	hsa00270	Cysteine and methionine metabolism	0	0.10526315789473684	0.21052631578947367	0.15789473684210525
Ziehm2017	hsa00270	Cysteine and methionine metabolism	0	0.10526315789473684	0.21052631578947367	0.15789473684210525
Aliper2016	hsa00280	Valine, leucine and isoleucine degradation	0	0	0.2222222222222222	0.2222222222222222
Barardo2017	hsa00280	Valine, leucine and isoleucine degradation	0	0	0.2222222222222222	0.2222222222222222
Calvert2016	hsa00280	Valine, leucine and isoleucine degradation	0	0	0.2222222222222222	0.2222222222222222
Donertas2018	hsa00280	Valine, leucine and isoleucine degradation	0	0	0.2222222222222222	0.2222222222222222
Fernandes2016	hsa00280	Valine, leucine and isoleucine degradation	0.2222222222222222	0	0.2222222222222222	0.2222222222222222
Fuentealba2018	hsa00280	Valine, leucine and isoleucine degradation	0	0	0.2222222222222222	0.2222222222222222
Liu2016	hsa00280	Valine, leucine and isoleucine degradation	0.1111111111111111	0	0.2222222222222222	0.2222222222222222
Mofidifar2018	hsa00280	Valine, leucine and isoleucine degradation	0	0	0.2222222222222222	0.2222222222222222
Snell2016	hsa00280	Valine, leucine and isoleucine degradation	0	0	0.2222222222222222	0.2222222222222222
Snell2018	hsa00280	Valine, leucine and isoleucine degradation	0.2222222222222222	0	0.2222222222222222	0.2222222222222222
Yang2018	hsa00280	Valine, leucine and isoleucine degradation	0	0	0.2222222222222222	0.2222222222222222
Ziehm2017	hsa00280	Valine, leucine and isoleucine degradation	0	0	0.2222222222222222	0.2222222222222222
Aliper2016	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Barardo2017	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Calvert2016	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Donertas2018	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Fernandes2016	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Fuentealba2018	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Liu2016	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Mofidifar2018	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Snell2016	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Snell2018	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Yang2018	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Ziehm2017	hsa00290	Valine, leucine and isoleucine biosynthesis	0	0	0	0
Aliper2016	hsa00310	Lysine degradation	0	0	0.2	0
Barardo2017	hsa00310	Lysine degradation	0	0	0.2	0
Calvert2016	hsa00310	Lysine degradation	0.06666666666666667	0	0.2	0
Donertas2018	hsa00310	Lysine degradation	0.13333333333333333	0	0.2	0
Fernandes2016	hsa00310	Lysine degradation	0.13333333333333333	0	0.2	0
Fuentealba2018	hsa00310	Lysine degradation	0	0	0.2	0
Liu2016	hsa00310	Lysine degradation	0	0	0.2	0
Mofidifar2018	hsa00310	Lysine degradation	0	0	0.2	0
Snell2016	hsa00310	Lysine degradation	0	0	0.2	0
Snell2018	hsa00310	Lysine degradation	0	0	0.2	0
Yang2018	hsa00310	Lysine degradation	0	0	0.2	0
Ziehm2017	hsa00310	Lysine degradation	0	0	0.2	0
